order_product_id,feature_id,featureName,additionalPrice
830359177,602096,Eldiven İstiyorum,0.0
830359177,602098,Cajun Baharatı İstiyorum,0.0
830400243,602098,Cajun Baharatı İstiyorum,0.0
830400243,602102,Normal Pişim,0.0
830400243,911612,FÜME ET İSTEMİYORUM,-5.0
830404145,602098,Cajun Baharatı İstiyorum,0.0
830404145,602102,Normal Pişim,0.0
830586524,602098,Cajun Baharatı İstiyorum,0.0
830586524,602102,Normal Pişim,0.0
830586522,602098,Cajun Baharatı İstiyorum,0.0
830586522,602096,Eldiven İstiyorum,0.0
830586522,602102,Normal Pişim,0.0
830614590,602098,Cajun Baharatı İstiyorum,0.0
830614590,602102,Normal Pişim,0.0
830615744,602098,Cajun Baharatı İstiyorum,0.0
830615744,602096,Eldiven İstiyorum,0.0
830615744,602102,Normal Pişim,0.0
830615742,602098,Cajun Baharatı İstiyorum,0.0
830615742,602102,Normal Pişim,0.0
830623809,602098,Cajun Baharatı İstiyorum,0.0
830623809,602102,Normal Pişim,0.0
830623809,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
830628930,602098,Cajun Baharatı İstiyorum,0.0
830628930,602102,Normal Pişim,0.0
830656394,602098,Cajun Baharatı İstiyorum,0.0
830656394,602102,Normal Pişim,0.0
830656394,911609,ET EKMEK ÇOCUK MENÜ,-15.0
830672723,602098,Cajun Baharatı İstiyorum,0.0
830672723,602096,Eldiven İstiyorum,0.0
830715024,602098,Cajun Baharatı İstiyorum,0.0
830715024,602096,Eldiven İstiyorum,0.0
830715024,602102,Normal Pişim,0.0
830715022,602098,Cajun Baharatı İstiyorum,0.0
830715022,602102,Normal Pişim,0.0
830838041,602098,Cajun Baharatı İstiyorum,0.0
830838041,602096,Eldiven İstiyorum,0.0
830838041,602102,Normal Pişim,0.0
830838041,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
830892832,602098,Cajun Baharatı İstiyorum,0.0
830892832,602102,Normal Pişim,0.0
830892832,911612,FÜME ET İSTEMİYORUM,-5.0
831015342,602098,Cajun Baharatı İstiyorum,0.0
831015342,602102,Normal Pişim,0.0
831015342,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
831015342,911612,FÜME ET İSTEMİYORUM,-5.0
831015342,911613,B ÖZEL SOS İSTEMİYORUM,-1.0
831015340,602098,Cajun Baharatı İstiyorum,0.0
831015340,602102,Normal Pişim,0.0
831015336,602098,Cajun Baharatı İstiyorum,0.0
831015336,602102,Normal Pişim,0.0
831015336,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
831028657,602098,Cajun Baharatı İstiyorum,0.0
831028657,602096,Eldiven İstiyorum,0.0
831028659,602098,Cajun Baharatı İstiyorum,0.0
831028661,602098,Cajun Baharatı İstiyorum,0.0
831028663,602096,Eldiven İstiyorum,0.0
831028663,602098,Cajun Baharatı İstiyorum,0.0
831074537,602098,Cajun Baharatı İstiyorum,0.0
831074537,602102,Normal Pişim,0.0
831074539,602098,Cajun Baharatı İstiyorum,0.0
831121489,602098,Cajun Baharatı İstiyorum,0.0
831330936,602098,Cajun Baharatı İstiyorum,0.0
831330936,602102,Normal Pişim,0.0
831330936,911609,ET EKMEK ÇOCUK MENÜ,-15.0
831336581,602098,Cajun Baharatı İstiyorum,0.0
831336581,602102,Normal Pişim,0.0
831336584,602098,Cajun Baharatı İstiyorum,0.0
831336584,602102,Normal Pişim,0.0
831336584,602096,Eldiven İstiyorum,0.0
831347434,602098,Cajun Baharatı İstiyorum,0.0
831347434,602102,Normal Pişim,0.0
831427326,602098,Cajun Baharatı İstiyorum,0.0
831427326,602102,Normal Pişim,0.0
831427326,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
831448460,602102,Normal Pişim,0.0
831448460,602099,CAJUN BAHARATI İSTEMİYORUM,0.0
831476041,602098,Cajun Baharatı İstiyorum,0.0
831476041,602102,Normal Pişim,0.0
831541444,602102,Normal Pişim,0.0
831541444,911609,ET EKMEK ÇOCUK MENÜ,-15.0
831541444,602099,CAJUN BAHARATI İSTEMİYORUM,0.0
831603696,602098,Cajun Baharatı İstiyorum,0.0
831603696,602102,Normal Pişim,0.0
831603692,602098,Cajun Baharatı İstiyorum,0.0
831603692,602102,Normal Pişim,0.0
831716061,602098,Cajun Baharatı İstiyorum,0.0
831716061,602096,Eldiven İstiyorum,0.0
831716061,602102,Normal Pişim,0.0
831723388,602098,Cajun Baharatı İstiyorum,0.0
831723388,602096,Eldiven İstiyorum,0.0
831723388,602102,Normal Pişim,0.0
