order_product_id,feature_id,featureName,additionalPrice
950065827,602098,Cajun Baharatı İstiyorum,0.0
950065827,602102,Normal Pişim,0.0
950065827,602096,Eldiven İstiyorum,0.0
950082454,602098,Cajun Baharatı İstiyorum,0.0
950082454,602096,Eldiven İstiyorum,0.0
950082454,602102,Normal Pişim,0.0
950110905,602098,Cajun Baharatı İstiyorum,0.0
950110905,602102,Normal Pişim,0.0
950168321,602098,Cajun Baharatı İstiyorum,0.0
950168321,602096,Eldiven İstiyorum,0.0
950168321,602102,Normal Pişim,0.0
950168321,911612,FÜME ET İSTEMİYORUM,-5.0
950195349,602096,Eldiven İstiyorum,0.0
950195349,602098,Cajun Baharatı İstiyorum,0.0
950210471,602098,Cajun Baharatı İstiyorum,0.0
950210469,602098,Cajun Baharatı İstiyorum,0.0
950232633,602098,Cajun Baharatı İstiyorum,0.0
950232633,602096,Eldiven İstiyorum,0.0
950247938,602098,Cajun Baharatı İstiyorum,0.0
950253464,602098,Cajun Baharatı İstiyorum,0.0
950253464,602096,Eldiven İstiyorum,0.0
950253464,602102,Normal Pişim,0.0
950254266,602098,Cajun Baharatı İstiyorum,0.0
950255167,602098,Cajun Baharatı İstiyorum,0.0
950257512,602098,Cajun Baharatı İstiyorum,0.0
950274764,602096,Eldiven İstiyorum,0.0
950274764,602098,Cajun Baharatı İstiyorum,0.0
950335721,602098,Cajun Baharatı İstiyorum,0.0
950335721,602096,Eldiven İstiyorum,0.0
950335721,602102,Normal Pişim,0.0
950335721,911610,KARAMELİZE SOĞAN İSTEMİYORUM,-1.0
950335721,911611,CHEDDAR PEYNİRİ İSTEMİYORUM,-3.0
950335721,911612,FÜME ET İSTEMİYORUM,-5.0
950335728,602098,Cajun Baharatı İstiyorum,0.0
950335728,602096,Eldiven İstiyorum,0.0
950335728,602102,Normal Pişim,0.0
950336930,602098,Cajun Baharatı İstiyorum,0.0
950336930,602102,Normal Pişim,0.0
950336930,602096,Eldiven İstiyorum,0.0
950445692,602098,Cajun Baharatı İstiyorum,0.0
950445692,602102,Normal Pişim,0.0
950445692,602096,Eldiven İstiyorum,0.0
,,,
950065827,602098,Cajun Baharatı İstiyorum,0.0
