order_id,paymentTypeId,paymentName,amount,currency,insertDate
254952900,90,Trendyol Online,396.41,TRY,2025-01-10T11:38:05.15
254953026,26,Metropol,798.83,TRY,2025-01-10T11:45:17.76
254956206,5,SetCard,2421.99,TRY,2025-01-10T12:26:53.687
254956493,5,SetCard,2421.99,TRY,2025-01-10T12:26:54.843
254958688,53330,Edenred Online,511.8,TRY,2025-01-10T12:26:56.74
254958890,29,YS Online,532.86,TRY,2025-01-10T12:26:57.66
254959632,3,Multinet,463.16,TRY,2025-01-10T12:26:58.443
254960824,53330,Edenred Online,396.41,TRY,2025-01-10T12:26:59.323
254962404,90,Trendyol Online,448.66,TRY,2025-01-10T12:39:47.86
254963202,2,Kredi Kartı,718.0,TRY,2025-01-10T12:35:30.433
254964567,53330,Edenred Online,467.41,TRY,2025-01-10T12:43:26.547
254964568,4,Smart Ticket,403.66,TRY,2025-01-10T12:39:51.797
254966424,5,SetCard,403.66,TRY,2025-01-10T12:39:53.887
254966670,53330,Edenred Online,407.0,TRY,2025-01-10T12:43:27.393
254966950,4,Smart Ticket,625.22,TRY,2025-01-10T12:59:21.263
254967466,1,Nakit,394.9,TRY,2025-01-10T12:43:28.747
254967728,41,Pluxee (Sodexo) Online,456.9,TRY,2025-01-10T12:39:55.327
254973235,6,Pluxee (Sodexo),349.9,TRY,2025-01-10T13:02:32.603
254973235,4,Smart Ticket,358.1,TRY,2025-01-10T13:02:32.623
254979958,29,YS Online,450.41,TRY,2025-01-10T13:24:26.023
254980767,1,Nakit,1196.7,TRY,2025-01-10T13:24:26.843
254981791,2,Kredi Kartı,344.6,TRY,2025-01-10T13:24:27.617
254982400,569,Migros Online,398.9,TRY,2025-01-10T14:02:09.343
254983141,4,Smart Ticket,349.6,TRY,2025-01-10T13:24:28.277
254986219,26,Metropol,463.16,TRY,2025-01-10T13:48:53.863
254988163,90,Trendyol Online,396.41,TRY,2025-01-10T13:27:17.817
254989186,1,Nakit,797.8,TRY,2025-01-10T14:02:11.59
254989449,53330,Edenred Online,405.91,TRY,2025-01-10T14:02:13.787
254990270,26,Metropol,403.66,TRY,2025-01-10T14:02:06.797
254990865,2,Kredi Kartı,786.8,TRY,2025-01-10T14:02:16.393
254991507,90,Trendyol Online,396.41,TRY,2025-01-10T14:02:17.423
254996773,33,Getir Online,1169.7,TRY,2025-01-10T14:02:18.22
254999854,90,Trendyol Online,473.36,TRY,2025-01-10T14:02:20.487
254999893,33,Getir Online,389.9,TRY,2025-01-10T14:02:21.367
255001460,29,YS Online,790.33,TRY,2025-01-10T14:17:05.623
255002808,33,Getir Online,389.9,TRY,2025-01-10T14:46:06.31
255003076,33,Getir Online,1353.6,TRY,2025-01-10T14:46:02.38
255005208,29,YS Online,463.16,TRY,2025-01-10T14:46:17.23
255006417,569,Migros Online,404.9,TRY,2025-01-10T14:46:04.507
255006903,53330,Edenred Online,402.11,TRY,2025-01-10T14:54:13.91
255007622,604,Token Flex,403.66,TRY,2025-01-10T14:50:18.92
255008114,5,SetCard,1242.56,TRY,2025-01-10T14:45:57.873
255008788,2,Kredi Kartı,389.9,TRY,2025-01-10T14:45:55.22
255011601,4,Smart Ticket,531.08,TRY,2025-01-10T14:45:56.64
255013071,2,Kredi Kartı,79.9,TRY,2025-01-10T14:27:28.07
255017207,29,YS Online,508.03,TRY,2025-01-10T15:07:24.527
255017673,3,Multinet,807.33,TRY,2025-01-10T15:07:20.787
255024643,53330,Edenred Online,396.41,TRY,2025-01-10T15:55:52.093
255028415,29,YS Online,395.16,TRY,2025-01-10T15:28:19.593
255031776,29,YS Online,1024.36,TRY,2025-01-10T15:50:02.293
255032141,90,Trendyol Online,429.66,TRY,2025-01-10T15:48:06.333
255036553,2,Kredi Kartı,395.16,TRY,2025-01-10T16:13:16.22
255037019,604,Token Flex,314.23,TRY,2025-01-10T15:58:34.11
255037488,29,YS Online,862.58,TRY,2025-01-10T16:51:06.397
255038887,2,Kredi Kartı,779.8,TRY,2025-01-10T16:13:18.423
255039382,569,Migros Online,388.9,TRY,2025-01-10T15:58:40.327
255041608,29,YS Online,395.16,TRY,2025-01-10T16:51:08.55
255044914,4,Smart Ticket,502.8,TRY,2025-01-10T16:51:12.09
255046378,2,Kredi Kartı,809.8,TRY,2025-01-10T16:51:12.953
255046428,29,YS Online,395.16,TRY,2025-01-10T16:51:13.993
255047945,569,Migros Online,404.9,TRY,2025-01-10T16:51:15.597
255051227,33,Getir Online,907.8,TRY,2025-01-10T16:51:03.527
255051753,5,SetCard,389.9,TRY,2025-01-10T16:40:19.47
255053370,90,Trendyol Online,405.91,TRY,2025-01-10T17:00:08.657
255055382,5,SetCard,349.6,TRY,2025-01-10T16:51:01.797
255055758,64,Havale,799.5,TRY,2025-01-10T16:31:28.81
255058385,2,Kredi Kartı,348.6,TRY,2025-01-10T16:51:00.223
255059064,33,Getir Online,389.9,TRY,2025-01-10T17:30:38.877
255059896,1,Nakit,2252.05,TRY,2025-01-10T17:30:39.597
255060085,5,SetCard,349.6,TRY,2025-01-10T17:08:49.397
255060857,33,Getir Online,589.7,TRY,2025-01-10T17:00:10.93
255061858,29,YS Online,463.16,TRY,2025-01-10T17:30:41.463
255061862,1,Nakit,807.33,TRY,2025-01-10T17:08:47.15
255063263,1,Nakit,395.16,TRY,2025-01-10T17:30:44.367
255063759,2,Kredi Kartı,395.16,TRY,2025-01-10T17:30:42.397
255064331,1,Nakit,433.26,TRY,2025-01-10T17:30:35.787
255066066,29,YS Online,1580.66,TRY,2025-01-10T17:30:31.93
