order_id,paymentTypeId,paymentName,amount,currency,insertDate
290208105,2,Kredi Kartı,672.8,TRY,2025-05-17T13:06:22.977
290208197,4,Smart Ticket,839.8,TRY,2025-05-17T12:48:09.227
290211113,3,Multinet,454.66,TRY,2025-05-17T12:37:54.7
290211562,574,Multinet Online,434.9,TRY,2025-05-17T13:49:11.347
290213888,2,Kredi Kartı,449.9,TRY,2025-05-17T12:53:53.957
290216665,29,YS Online,647.28,TRY,2025-05-17T13:13:18.113
290223488,2,Kredi Kartı,1379.7,TRY,2025-05-17T13:49:25.2
290231340,33,Getir Online,434.9,TRY,2025-05-17T13:49:26.643
290234359,29,YS Online,807.61,TRY,2025-05-17T14:01:04.71
290237981,90,Trendyol Online,434.11,TRY,2025-05-17T14:40:13.583
290238221,90,Trendyol Online,753.56,TRY,2025-05-17T14:40:15.603
290240717,90,Trendyol Online,428.41,TRY,2025-05-17T14:40:21.36
290240734,29,YS Online,842.33,TRY,2025-05-17T14:40:17.787
290240772,29,YS Online,454.66,TRY,2025-05-17T14:40:16.38
290240934,2,Kredi Kartı,699.8,TRY,2025-05-17T14:40:18.543
290242806,3,Multinet,414.9,TRY,2025-05-17T14:40:17.067
290243020,2,Kredi Kartı,523.32,TRY,2025-05-17T14:40:20.353
290243292,54442,Setcard Online,428.41,TRY,2025-05-17T14:40:19.3
290245352,3,Multinet,501.41,TRY,2025-05-17T14:52:36.243
290246760,1,Nakit,454.66,TRY,2025-05-17T14:45:58.047
290249335,33,Getir Online,507.9,TRY,2025-05-17T14:45:49.977
290250839,29,YS Online,842.33,TRY,2025-05-17T14:52:37.837
290251298,2,Kredi Kartı,1692.68,TRY,2025-05-17T15:00:12.17
290251609,1,Nakit,1049.7,TRY,2025-05-17T14:51:52.32
290251923,90,Trendyol Online,470.51,TRY,2025-05-17T14:52:37.017
290251929,574,Multinet Online,437.91,TRY,2025-05-17T15:09:38.903
290251940,574,Multinet Online,461.66,TRY,2025-05-17T15:00:15.68
290253403,53330,Edenred Online,461.66,TRY,2025-05-17T15:31:13.43
290253727,90,Trendyol Online,450.51,TRY,2025-05-17T15:31:13.903
290254041,90,Trendyol Online,529.01,TRY,2025-05-17T15:19:00.54
290254079,91,Pluxee (Sodexo) Pass Mobil,1203.9,TRY,2025-05-17T15:31:15.753
290254878,33,Getir Online,577.9,TRY,2025-05-17T15:31:17.31
290256458,53955,Metropol Kodu,437.91,TRY,2025-05-17T15:09:59.52
290256489,2,Kredi Kartı,839.8,TRY,2025-05-17T15:01:12.733
290258269,29,YS Online,616.08,TRY,2025-05-17T15:31:08.693
290258880,90,Trendyol Online,523.41,TRY,2025-05-17T15:19:21.08
290260256,29,YS Online,986.83,TRY,2025-05-17T15:31:05.23
290261475,29,YS Online,446.16,TRY,2025-05-17T15:09:50.813
290262015,53330,Edenred Online,514.16,TRY,2025-05-17T15:31:07.08
290263576,2,Kredi Kartı,999.8,TRY,2025-05-17T14:50:57.327
290263595,90,Trendyol Online,1038.22,TRY,2025-05-17T15:09:48.643
290263610,90,Trendyol Online,442.91,TRY,2025-05-17T15:31:01.477
290264180,90,Trendyol Online,461.66,TRY,2025-05-17T15:30:57.013
290268027,2,Kredi Kartı,454.66,TRY,2025-05-17T15:30:50.033
290268239,569,Migros Online,463.66,TRY,2025-05-17T15:31:20.207
290268475,2,Kredi Kartı,1349.7,TRY,2025-05-17T15:02:22.71
290268661,90,Trendyol Online,451.21,TRY,2025-05-17T15:30:54.477
290270217,29,YS Online,411.57,TRY,2025-05-17T15:30:46.863
290270242,2,Kredi Kartı,449.9,TRY,2025-05-17T15:27:17.623
290270411,2,Kredi Kartı,1784.66,TRY,2025-05-17T15:30:45.167
290270478,26,Metropol,799.8,TRY,2025-05-17T15:36:42.263
290270745,2,Kredi Kartı,449.9,TRY,2025-05-17T15:26:58.773
290271471,604,Token Flex,419.9,TRY,2025-05-17T15:08:51.223
290274457,33,Getir Online,434.9,TRY,2025-05-17T15:44:58.81
290275088,33,Getir Online,456.9,TRY,2025-05-17T15:30:41.987
290276996,6,Pluxee (Sodexo),1199.8,TRY,2025-05-17T15:42:18.507
290277064,29,YS Online,454.66,TRY,2025-05-17T15:30:39.92
290277709,41,Pluxee (Sodexo) Online,428.41,TRY,2025-05-17T16:13:04.44
290278651,41,Pluxee (Sodexo) Online,428.41,TRY,2025-05-17T16:12:58.347
290279963,29,YS Online,1019.83,TRY,2025-05-17T16:12:59.583
290280040,29,YS Online,464.16,TRY,2025-05-17T16:13:00.953
290281970,574,Multinet Online,456.81,TRY,2025-05-17T16:13:02.427
290282853,1,Nakit,349.9,TRY,2025-05-17T16:22:59.49
290284664,29,YS Online,978.33,TRY,2025-05-17T16:12:51.347
290287460,574,Multinet Online,623.16,TRY,2025-05-17T16:12:55.327
