order_id,paymentTypeId,paymentName,amount,currency,insertDate
252810620,41,Pluxee (Sodexo) Online,1459.82,TRY,2025-01-02T12:11:41.377
252812412,2,Kredi Kartı,560.91,TRY,2025-01-02T12:11:43.637
252812516,569,Migros Online,1049.7,TRY,2025-01-02T12:11:44.397
252814826,26,Metropol,699.8,TRY,2025-01-02T12:11:42.307
252817864,53330,Edenred Online,407.91,TRY,2025-01-02T12:11:45.98
252818835,5,SetCard,378.16,TRY,2025-01-02T12:50:53.92
252819791,1,Nakit,1391.96,TRY,2025-01-02T12:17:03.02
252821339,26,Metropol,1354.78,TRY,2025-01-02T12:50:56.357
252822184,29,YS Online,328.16,TRY,2025-01-02T12:50:55.067
252824497,26,Metropol,378.16,TRY,2025-01-02T12:50:58.627
252826004,4,Smart Ticket,1142.98,TRY,2025-01-02T13:10:25.733
252810620,41,Pluxee (Sodexo) Online,1459.82,TRY,2025-01-02T12:11:41.377
252812412,2,Kredi Kartı,560.91,TRY,2025-01-02T12:11:43.637
252812516,569,Migros Online,1049.7,TRY,2025-01-02T12:11:44.397
252814826,26,Metropol,699.8,TRY,2025-01-02T12:11:42.307
252817864,53330,Edenred Online,407.91,TRY,2025-01-02T12:11:45.98
252818835,5,SetCard,378.16,TRY,2025-01-02T12:50:53.92
252819791,1,Nakit,1391.96,TRY,2025-01-02T12:17:03.02
252821339,26,Metropol,1354.78,TRY,2025-01-02T12:50:56.357
252822184,29,YS Online,328.16,TRY,2025-01-02T12:50:55.067
252824497,26,Metropol,378.16,TRY,2025-01-02T12:50:58.627
252826004,4,Smart Ticket,1142.98,TRY,2025-01-02T13:10:25.733
165254100,29,YS Online,1079.6,TRY,2024-01-10T21:04:30.17
165254979,33,Getir Online,852.7,TRY,2024-01-10T21:04:30.91
165255012,2,Kredi Kartı,2654.1,TRY,2024-01-10T20:49:12.3
165255730,90,Trendyol Online,269.9,TRY,2024-01-10T20:55:09.14
165255851,2,Kredi Kartı,275.9,TRY,2024-01-10T20:55:08.16
165256163,90,Trendyol Online,269.9,TRY,2024-01-10T21:04:27.91
165256278,5,SetCard,269.9,TRY,2024-01-10T20:55:07.377
165256932,1,Nakit,304.9,TRY,2024-01-10T20:55:04.887
165258815,29,YS Online,339.9,TRY,2024-01-10T21:04:26.857
165259292,90,Trendyol Online,339.8,TRY,2024-01-10T21:08:37.193
165260444,3,Multinet,544.8,TRY,2024-01-10T20:55:13.057
165261255,90,Trendyol Online,269.9,TRY,2024-01-10T20:55:03.973
165261474,6,Pluxee (Sodexo),259.9,TRY,2024-01-10T20:55:10.297
165261981,90,Trendyol Online,316.9,TRY,2024-01-10T21:08:24.15
165262690,3,Multinet,259.9,TRY,2024-01-10T20:27:43.503
165263023,33,Getir Online,269.9,TRY,2024-01-10T21:08:21.747
165263789,4,Smart Ticket,269.9,TRY,2024-01-10T21:08:23.307
165264578,569,Migros Online,304.8,TRY,2024-01-10T22:15:51.167
165264747,2,Kredi Kartı,783.7,TRY,2024-01-10T21:18:43.917
165265611,41,Pluxee (Sodexo) Online,269.9,TRY,2024-01-10T22:15:50.493
165265618,33,Getir Online,287.8,TRY,2024-01-10T22:15:49.793
165266255,2,Kredi Kartı,259.9,TRY,2024-01-10T21:25:30.687
165266424,29,YS Online,304.9,TRY,2024-01-10T22:15:53.053
165268012,33,Getir Online,539.8,TRY,2024-01-10T22:15:55.347
165269020,29,YS Online,609.7,TRY,2024-01-10T22:15:52.447
165270401,1,Nakit,1464.6,TRY,2024-01-10T22:15:51.81
165272106,29,YS Online,139.8,TRY,2024-01-10T22:15:54.203
165272108,29,YS Online,369.9,TRY,2024-01-10T22:15:53.597
165273391,574,Multinet Online,764.7,TRY,2024-01-10T22:15:55.877
165277074,29,YS Online,274.9,TRY,2024-01-10T22:15:56.54
165278101,90,Trendyol Online,314.6,TRY,2024-01-10T22:15:58.277
165278238,41,Pluxee (Sodexo) Online,524.8,TRY,2024-01-10T22:15:57.233
165279574,4,Smart Ticket,299.9,TRY,2024-01-10T22:32:49.853
165279690,604,Token Flex,485.82,TRY,2024-01-10T22:32:48.183
165280040,29,YS Online,309.9,TRY,2024-01-10T22:32:47.463
165280315,90,Trendyol Online,304.9,TRY,2024-01-10T22:32:49.093
165281888,41,Pluxee (Sodexo) Online,269.9,TRY,2024-01-10T22:45:55.093
165283066,604,Token Flex,714.7,TRY,2024-01-10T22:32:54.39
165283732,29,YS Online,269.9,TRY,2024-01-10T23:46:41.383
165284250,1,Nakit,750.0,TRY,2024-01-10T22:52:16.19
165284410,29,YS Online,274.9,TRY,2024-01-10T23:46:40.703
165285374,90,Trendyol Online,281.9,TRY,2024-01-10T23:46:42.017
165287205,90,Trendyol Online,269.9,TRY,2024-01-10T23:46:42.65
165287379,6,Pluxee (Sodexo),269.9,TRY,2024-01-10T23:46:43.297
165288538,2,Kredi Kartı,809.7,TRY,2024-01-10T23:46:44.68
165289084,90,Trendyol Online,234.9,TRY,2024-01-10T23:46:45.44
165289119,64,Havale,304.9,TRY,2024-01-10T23:46:46.463
165289704,33,Getir Online,305.9,TRY,2024-01-10T23:46:47.253
165289774,33,Getir Online,410.8,TRY,2024-01-11T00:22:41.037
165290342,33,Getir Online,304.9,TRY,2024-01-10T23:48:34.373
165290407,29,YS Online,464.4,TRY,2024-01-11T00:22:40.373
165290774,1,Nakit,309.0,TRY,2024-01-11T00:22:39.657
165290775,29,YS Online,278.8,TRY,2024-01-11T00:22:38.9
165292244,1,Nakit,339.8,TRY,2024-01-11T00:22:41.727
165292648,90,Trendyol Online,240.9,TRY,2024-01-11T00:22:50.2
165292723,29,YS Online,157.6,TRY,2024-01-11T00:22:42.437
165292758,90,Trendyol Online,239.9,TRY,2024-01-11T00:22:44.983
165292821,2,Kredi Kartı,270.9,TRY,2024-01-11T00:22:49.33
165293595,4,Smart Ticket,609.8,TRY,2024-01-11T00:39:36.19
