id,tableName,waiterName,orderTotal,taxAmount,currency,insertDate,updateDate,orderType,status,salesChannelName,paymentMethodName,customerId,orderNumber
252810620,,can,1459.82,137.26,TRY,2025-01-02T11:03:20.16,2025-01-02T12:11:41.407,Paket Siparişi,Kapandı,Ana Kanal,,22347505,101
252812412,,can,560.91,50.99,TRY,2025-01-02T11:19:56.63,2025-01-02T12:11:43.65,Paket Siparişi,Kapandı,Ana Kanal,,375706,102
252812516,,can,1049.7,10.38,TRY,2025-01-02T11:20:49.957,2025-01-02T12:11:44.41,Paket Siparişi,Kapandı,Ana Kanal,,33059039,103
252814826,,can,699.8,6.93,TRY,2025-01-02T11:36:22.473,2025-01-02T12:11:42.327,Paket Siparişi,Kapandı,Ana Kanal,,28252265,104
252817864,,can,407.91,41.63,TRY,2025-01-02T11:52:23.587,2025-01-02T12:11:46.003,Paket Siparişi,Kapandı,Ana Kanal,,22276515,105
252818835,,can,378.16,34.38,TRY,2025-01-02T11:56:48.597,2025-01-02T12:50:53.977,Paket Siparişi,Kapandı,Ana Kanal,,24793644,106
252819791,,can,1391.96,126.54,TRY,2025-01-02T12:00:31.537,2025-01-02T14:08:32.223,Paket Siparişi,Kapandı,Ana Kanal,,32838787,107
252821339,,can,1354.78,127.7,TRY,2025-01-02T12:05:57.287,2025-01-02T12:50:56.37,Paket Siparişi,Kapandı,Ana Kanal,,33060180,108
252822184,,can,328.16,34.38,TRY,2025-01-02T12:08:35.1,2025-01-02T12:50:55.08,Paket Siparişi,Kapandı,Ana Kanal,,536827,109
252824497,,can,378.16,34.38,TRY,2025-01-02T12:15:13.53,2025-01-02T12:50:58.637,Paket Siparişi,Kapandı,Ana Kanal,,33060516,110
252826004,,can,1142.98,103.91,TRY,2025-01-02T12:19:38.793,2025-01-02T13:10:25.967,Paket Siparişi,Kapandı,Ana Kanal,,33060671,111
252834106,Masa 1,can,4369.1,43.26,TRY,2025-01-02T12:42:42.267,2025-01-02T13:19:17.09,Masa Siparişi,Kapandı,Ana Kanal,,0,112
252836769,,can,377.41,38.86,TRY,2025-01-02T12:50:26.49,2025-01-02T13:49:08.49,Paket Siparişi,Kapandı,Ana Kanal,,33061665,113
252841472,,can,804.82,77.71,TRY,2025-01-02T13:05:30.92,2025-01-02T13:49:23.953,Paket Siparişi,Kapandı,Ana Kanal,,24774016,114
252842306,,can,378.16,34.38,TRY,2025-01-02T13:08:21.183,2025-01-02T13:49:26.667,Paket Siparişi,Kapandı,Ana Kanal,,29646118,115
252843448,,can,756.33,68.76,TRY,2025-01-02T13:12:02.023,2025-01-02T13:49:24.9,Paket Siparişi,Kapandı,Ana Kanal,,29303328,116
252844429,,can,485.7,6.9,TRY,2025-01-02T13:15:20.73,2025-01-02T13:49:27.373,Paket Siparişi,Kapandı,Ana Kanal,,8903827,117
252845650,,can,359.9,32.72,TRY,2025-01-02T13:19:25.117,2025-01-02T13:49:30.87,Paket Siparişi,Kapandı,Ana Kanal,,33062557,118
252846359,,can,349.6,3.46,TRY,2025-01-02T13:22:04.403,2025-01-02T13:49:38.86,Paket Siparişi,Kapandı,Ana Kanal,,2281842,119
252847328,,can,427.9,38.9,TRY,2025-01-02T13:25:30.447,2025-01-02T13:49:33.653,Paket Siparişi,Kapandı,Ana Kanal,,32702950,120
252848830,,can,356.6,4.5,TRY,2025-01-02T13:31:00.98,2025-01-02T13:49:34.833,Paket Siparişi,Kapandı,Ana Kanal,,30259240,121
252850064,,can,369.9,3.66,TRY,2025-01-02T13:35:50.243,2025-01-02T14:20:50.5,Paket Siparişi,Kapandı,Ana Kanal,,23504033,122
