order_id,paymentTypeId,paymentName,amount,currency,insertDate
124965028,90,Trendyol Online,179.9,TRY,2023-06-25T14:30:01.887
124968894,29,YS Online,184.9,TRY,2023-06-25T14:30:02.947
124971356,33,Getir Online,184.9,TRY,2023-06-25T15:18:58.22
124971936,29,YS Online,259.9,TRY,2023-06-25T14:30:04.553
124979550,29,YS Online,179.9,TRY,2023-06-25T15:18:59.19
124980433,1,Nakit,194.9,TRY,2023-06-25T15:05:15.423
124987477,1,Nakit,224.8,TRY,2023-06-25T15:19:01.52
124991911,1,Nakit,179.9,TRY,2023-06-25T19:07:50.743
124995940,29,YS Online,388.8,TRY,2023-06-25T19:08:14.63
124997046,29,YS Online,213.9,TRY,2023-06-25T19:08:15.257
125000691,33,Getir Online,178.9,TRY,2023-06-25T19:08:18.853
125005355,33,Getir Online,243.8,TRY,2023-06-25T19:08:16.083
125009718,90,Trendyol Online,158.9,TRY,2023-06-25T19:08:16.737
125011805,90,Trendyol Online,194.9,TRY,2023-06-25T19:08:17.437
125016106,33,Getir Online,203.9,TRY,2023-06-25T19:08:19.323
125019379,29,YS Online,178.9,TRY,2023-06-25T19:09:04.607
125019564,3,Multinet,178.9,TRY,2023-06-25T22:01:21.393
125020754,2,Kredi Kartı,969.6,TRY,2023-06-25T19:09:05.72
125022895,3,Multinet,178.9,TRY,2023-06-25T19:09:06.627
125023278,33,Getir Online,184.9,TRY,2023-06-25T19:09:07.597
125026690,29,YS Online,178.9,TRY,2023-06-25T19:09:08.743
125028496,29,YS Online,373.8,TRY,2023-06-25T19:09:09.713
125030575,2,Kredi Kartı,349.8,TRY,2023-06-25T18:02:05.33
125032540,33,Getir Online,190.9,TRY,2023-06-25T19:09:10.44
125033111,90,Trendyol Online,528.7,TRY,2023-06-25T19:09:11.16
125036978,2,Kredi Kartı,259.9,TRY,2023-06-25T19:09:12.14
125039382,2,Kredi Kartı,837.6,TRY,2023-06-25T19:09:13.117
125041970,33,Getir Online,184.9,TRY,2023-06-25T19:09:18.9
125042946,2,Kredi Kartı,83.7,TRY,2023-06-25T20:05:03.767
125043171,90,Trendyol Online,159.9,TRY,2023-06-25T21:36:26.183
125043822,90,Trendyol Online,154.9,TRY,2023-06-25T19:09:17.437
125044905,29,YS Online,507.8,TRY,2023-06-25T19:09:22.597
125044908,29,YS Online,184.9,TRY,2023-06-25T19:09:20.703
125046421,33,Getir Online,184.9,TRY,2023-06-25T20:52:01.923
125047497,29,YS Online,358.8,TRY,2023-06-25T22:01:20.273
125050249,29,YS Online,407.8,TRY,2023-06-25T20:52:02.737
125054763,33,Getir Online,178.9,TRY,2023-06-25T20:52:03.673
125056516,2,Kredi Kartı,457.8,TRY,2023-06-25T20:52:04.67
125057085,33,Getir Online,357.8,TRY,2023-06-25T20:52:05.853
125059122,33,Getir Online,179.9,TRY,2023-06-25T20:52:07.233
125059181,90,Trendyol Online,184.9,TRY,2023-06-25T20:52:08.82
125059348,2,Kredi Kartı,224.9,TRY,2023-06-25T20:52:12.993
125059988,90,Trendyol Online,560.7,TRY,2023-06-25T20:52:10.44
125061120,29,YS Online,230.8,TRY,2023-06-25T20:52:11.677
125062818,1,Nakit,539.7,TRY,2023-06-25T22:01:11.893
125063891,1,Nakit,268.8,TRY,2023-06-25T22:01:16.77
125065971,90,Trendyol Online,359.8,TRY,2023-06-25T20:52:13.977
125073000,90,Trendyol Online,178.9,TRY,2023-06-25T21:36:24.56
125073242,2,Kredi Kartı,343.8,TRY,2023-06-25T20:52:15.143
125073958,4,Smart Ticket,250.0,TRY,2023-06-25T22:11:58.013
125073958,4,Smart Ticket,271.7,TRY,2023-06-25T22:11:58.017
125075123,90,Trendyol Online,357.8,TRY,2023-06-25T21:36:25.3
125075848,33,Getir Online,198.9,TRY,2023-06-25T20:52:16.17
125077356,569,Migros Online,200.9,TRY,2023-06-25T22:01:18.707
125078287,90,Trendyol Online,343.8,TRY,2023-06-25T22:01:14.797
125083552,33,Getir Online,194.9,TRY,2023-06-25T22:52:17.353
125087842,90,Trendyol Online,178.9,TRY,2023-06-25T21:36:28.007
125089764,33,Getir Online,179.9,TRY,2023-06-25T21:36:31.41
125090034,33,Getir Online,229.9,TRY,2023-06-25T21:36:27.04
125090363,1,Nakit,473.7,TRY,2023-06-25T21:36:29.117
125090384,33,Getir Online,178.9,TRY,2023-06-25T21:36:30.493
125091367,1,Nakit,451.8,TRY,2023-06-25T21:36:34.067
125093789,90,Trendyol Online,179.9,TRY,2023-06-25T22:01:13.993
125093865,33,Getir Online,358.8,TRY,2023-06-25T21:36:32.54
125094480,90,Trendyol Online,163.9,TRY,2023-06-25T22:11:11.013
125098625,1,Nakit,194.9,TRY,2023-06-25T22:11:11.927
125101075,569,Migros Online,357.8,TRY,2023-06-25T22:01:23.22
125107529,33,Getir Online,178.9,TRY,2023-06-25T22:47:04.47
125116480,29,YS Online,178.9,TRY,2023-06-25T23:45:19.983
125117634,29,YS Online,183.9,TRY,2023-06-25T22:52:15.24
125119320,33,Getir Online,214.9,TRY,2023-06-25T23:50:54.03
125120771,90,Trendyol Online,189.9,TRY,2023-06-25T23:45:22.86
125121837,1,Nakit,203.9,TRY,2023-06-25T23:45:24.387
125122132,2,Kredi Kartı,179.9,TRY,2023-06-25T23:51:00.203
125122693,2,Kredi Kartı,359.8,TRY,2023-06-25T23:45:21.003
125123338,3,Multinet,381.8,TRY,2023-06-25T23:45:25.743
125127140,2,Kredi Kartı,224.8,TRY,2023-06-25T23:50:58.723
125127925,569,Migros Online,239.8,TRY,2023-06-25T23:50:56.677
125129692,90,Trendyol Online,389.8,TRY,2023-06-26T00:00:43.897
125129760,29,YS Online,178.9,TRY,2023-06-25T23:54:46.93
125130231,29,YS Online,203.9,TRY,2023-06-25T23:54:45.79
125158452,33,Getir Online,188.9,TRY,2023-06-26T13:23:26.773
125159587,29,YS Online,379.8,TRY,2023-06-26T13:23:25.44
125160128,2,Kredi Kartı,193.9,TRY,2023-06-26T12:48:47.007
125163046,90,Trendyol Online,218.8,TRY,2023-06-26T14:51:48.703
125163201,33,Getir Online,188.9,TRY,2023-06-26T14:25:09.133
